Company Name,BSE Code,NSE Symbol,Latest Market Cap,Industry
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670,GNFC," ? 8,359.46 ",Chemicals
Varroc Engineering Ltd.,541578,VARROC," ? 8,326.10 ",Auto Ancillary
GMR Power and Urban Infra Ltd.,543490,GMRP&UI," ? 8,314.26 ",Power Generation/Distribution
Black Box Ltd.,500463,BBOX," ? 8,313.93 ",Telecommunication - Equipment
The South Indian Bank Ltd.,532218,SOUTHBANK," ? 8,267.63 ",Bank - Private
Triveni Engineering & Industries Ltd.,532356,TRIVENI," ? 8,250.26 ",Sugar
Sansera Engineering Ltd.,543358,SANSERA," ? 8,233.40 ",Auto Ancillary
Mrs. Bectors Food Specialities Ltd.,543253,BECTORFOOD," ? 8,226.73 ",Consumer Food
Ganesh Housing Corporation Ltd.,526367,GANESHHOUC," ? 8,194.45 ",Construction - Real Estate
PN Gadgil Jewellers Ltd.,544256,PNGJL," ? 8,184.57 ",Retailing
TD Power Systems Ltd.,533553,TDPOWERSYS," ? 8,087.19 ",Electric Equipment
Balu Forge Industries Ltd.,531112,BALUFORGE," ? 8,068.35 ",Engineering - Industrial Equipments
CarTrade Tech Ltd.,543333,CARTRADE," ? 8,049.12 ",Automobiles - Dealers & Distributors
JK Tyre & Industries Ltd.,530007,JKTYRE," ? 8,002.76 ",Tyres & Allied
FDC Ltd.,531599,FDC," ? 7,998.86 ",Pharmaceuticals & Drugs
Keystone Realtors Ltd,543669,RUSTOMJEE," ? 7,989.65 ",Construction - Real Estate
Aurionpro Solutions Ltd.,532668,AURIONPRO," ? 7,975.04 ",IT - Software
Shaily Engineering Plastics Ltd.,501423,SHAILY," ? 7,960.34 ",Plastic Products
HMT Ltd.,500191,HMT," ? 7,926.54 ",Engineering - Industrial Equipments
Esab India Ltd.,500133,ESABINDIA," ? 7,925.87 ",Electrodes & Welding Equipment
RattanIndia Enterprises Ltd.,534597,RTNINDIA," ? 7,923.17 ",Professional Services
Epigral Ltd.,543332,EPIGRAL," ? 7,915.57 ",Chemicals
Aarti Pharmalabs Ltd.,543748,AARTIPHARM," ? 7,911.95 ",Pharmaceuticals & Drugs
PC Jeweller Ltd.,534809,PCJEWELLER," ? 7,910.18 ",Diamond  &  Jewellery
Just Dial Ltd.,535648,JUSTDIAL," ? 7,900.65 ",Business Support
PNC Infratech Ltd.,539150,PNCINFRA," ? 7,888.58 ",Engineering - Construction
Manorama Industries Ltd.,541974,MANORAMA," ? 7,876.21 ",Solvent  Extraction
Lloyds Engineering Works Ltd.,539992,LLOYDSENGG," ? 7,875.61 ",Engineering - Industrial Equipments
Dilip Buildcon Ltd.,540047,DBL," ? 7,866.96 ",Construction - Real Estate
Lumax Auto Technologies Ltd.,532796,LUMAXTECH," ? 7,844.95 ",Auto Ancillary
MOIL Ltd.,533286,MOIL," ? 7,829.09 ",Mining & Minerals
Raymond Lifestyle Ltd.,544240,RAYMONDLSL," ? 7,817.26 ",Textile
Gujarat State Fertilizers & Chemicals Ltd.,500690,GSFC," ? 7,800.20 ",Fertilizers
Dhanuka Agritech Ltd.,507717,DHANUKA," ? 7,795.85 ",Pesticides & Agrochemicals
Gujarat Pipavav Port Ltd.,533248,GPPL," ? 7,789.67 ",Port
Sheela Foam Ltd.,540203,SFL," ? 7,776.63 ",Household & Personal Products
Zinka Logistics Solutions Ltd.,544288,BLACKBUCK," ? 7,771.58 ",Logistics
EPL Ltd.,500135,EPL," ? 7,765.75 ",Packaging
Bajaj Electricals Ltd.,500031,BAJAJELEC," ? 7,731.72 ",Consumer Durables - Domestic Appliances
